DateTime, Active, Predicted next Active, Actual Next Active 
04/12/2008 09:00,[ 130.68409827],[ 114.8493418], [ 129.13094275]
04/12/2008 10:00,[ 129.13094275],[ 119.2204626], [ 92.88179744]
04/12/2008 11:00,[ 92.88179744],[ 89.32605169], [ 97.03682032]
04/12/2008 12:00,[ 97.03682032],[ 106.0284993], [ 95.18055611]
04/12/2008 13:00,[ 95.18055611],[ 105.64844634], [ 68.2990183]
04/12/2008 14:00,[ 68.2990183],[ 77.07378933], [ 23.38140672]
04/12/2008 15:00,[ 23.38140672],[ 30.6934688], [ 21.73975231]
04/12/2008 16:00,[ 21.73975231],[ 30.74071114], [ 23.27520805]
04/12/2008 17:00,[ 23.27520805],[ 45.06717865], [ 64.41391703]
04/12/2008 18:00,[ 64.41391703],[ 97.59253473], [ 182.17717737]
04/12/2008 19:00,[ 182.17717737],[ 154.62228229], [ 147.08515505]
04/12/2008 20:00,[ 147.08515505],[ 124.08196328], [ 155.80672065]
04/12/2008 21:00,[ 155.80672065],[ 134.13012456], [ 85.37709158]
04/12/2008 22:00,[ 85.37709158],[ 72.06667813], [ 58.13270832]
04/12/2008 23:00,[ 58.13270832],[ 62.31903582], [ 59.34071816]
05/12/2008 00:00,[ 59.34071816],[ 75.53030253], [ 59.5531155]
05/12/2008 01:00,[ 59.5531155],[ 78.09182428], [ 50.66782695]
05/12/2008 02:00,[ 50.66782695],[ 70.35940879], [ 50.23639486]
05/12/2008 03:00,[ 50.23639486],[ 73.50843161], [ 20.97644938]
05/12/2008 04:00,[ 20.97644938],[ 39.5197893], [ 21.89020042]
05/12/2008 05:00,[ 21.89020042],[ 42.45064571], [ 73.63107641]
05/12/2008 06:00,[ 73.63107641],[ 100.79901407], [ 152.75350895]
05/12/2008 07:00,[ 152.75350895],[ 143.28458407], [ 146.95240671]
05/12/2008 08:00,[ 146.95240671],[ 128.34666271], [ 127.7238104]
05/12/2008 09:00,[ 127.7238104],[ 114.18129628], [ 94.53230174]
05/12/2008 10:00,[ 94.53230174],[ 88.88302392], [ 92.32867938]
05/12/2008 11:00,[ 92.32867938],[ 98.3400173], [ 21.01627388]
05/12/2008 12:00,[ 21.01627388],[ 23.35683001], [ 22.81501382]
05/12/2008 13:00,[ 22.81501382],[ 27.48737923], [ 36.23808295]
05/12/2008 14:00,[ 36.23808295],[ 54.01503119], [ 80.998609]
05/12/2008 15:00,[ 80.998609],[ 110.33045646], [ 161.61224783]
05/12/2008 16:00,[ 161.61224783],[ 143.28719675], [ 139.47425051]
05/12/2008 17:00,[ 139.47425051],[ 120.78924878], [ 187.94730499]
05/12/2008 18:00,[ 187.94730499],[ 154.93152106], [ 151.94153163]
05/12/2008 19:00,[ 151.94153163],[ 128.67863434], [ 173.66800911]
05/12/2008 20:00,[ 173.66800911],[ 150.57320647], [ 98.51917673]
05/12/2008 21:00,[ 98.51917673],[ 85.70551238], [ 145.59616122]
05/12/2008 22:00,[ 145.59616122],[ 147.99974955], [ 106.90444655]
05/12/2008 23:00,[ 106.90444655],[ 105.87661546], [ 61.626202]
06/12/2008 00:00,[ 61.626202],[ 65.48116334], [ 25.09164776]
06/12/2008 01:00,[ 25.09164776],[ 34.16166553], [ 16.9254127]
06/12/2008 02:00,[ 16.9254127],[ 22.70920081], [ 17.80597665]
06/12/2008 03:00,[ 17.80597665],[ 41.58891924], [ 27.4324434]
06/12/2008 04:00,[ 27.4324434],[ 68.79873392], [ 50.17887058]
06/12/2008 05:00,[ 50.17887058],[ 85.08334654], [ 32.53219193]
06/12/2008 06:00,[ 32.53219193],[ 57.42735442], [ 130.98720697]
06/12/2008 07:00,[ 130.98720697],[ 140.75544967], [ 185.0688786]
06/12/2008 08:00,[ 185.0688786],[ 153.31087233], [ 149.39055113]
06/12/2008 09:00,[ 149.39055113],[ 125.39258932], [ 280.68971668]
06/12/2008 10:00,[ 280.68971668],[ 202.19498677], [ 236.37168509]
06/12/2008 11:00,[ 236.37168509],[ 188.73052134], [ 196.67329554]
06/12/2008 12:00,[ 196.67329554],[ 165.20144722], [ 309.40318152]
06/12/2008 13:00,[ 309.40318152],[ 216.08873856], [ 104.73401128]
06/12/2008 14:00,[ 104.73401128],[ 68.39657037], [ 88.5564142]
06/12/2008 15:00,[ 88.5564142],[ 96.21709843], [ 85.4788653]
06/12/2008 16:00,[ 85.4788653],[ 99.17096587], [ 131.33677758]
06/12/2008 17:00,[ 131.33677758],[ 139.42365675], [ 166.78943289]
06/12/2008 18:00,[ 166.78943289],[ 149.62952925], [ 160.90646918]
06/12/2008 19:00,[ 160.90646918],[ 140.28289357], [ 86.97228407]
06/12/2008 20:00,[ 86.97228407],[ 74.71023452], [ 119.13941808]
06/12/2008 21:00,[ 119.13941808],[ 126.63849387], [ 61.75895033]
06/12/2008 22:00,[ 61.75895033],[ 64.00477874], [ 66.10867077]
06/12/2008 23:00,[ 66.10867077],[ 82.70211543], [ 102.76491097]
07/12/2008 00:00,[ 102.76491097],[ 120.50251299], [ 31.32860703]
07/12/2008 01:00,[ 31.32860703],[ 38.06192126], [ 23.34821963]
07/12/2008 02:00,[ 23.34821963],[ 38.60882862], [ 21.37690686]
07/12/2008 03:00,[ 21.37690686],[ 39.94585766], [ 19.62462884]
07/12/2008 04:00,[ 19.62462884],[ 46.24966379], [ 41.33340654]
07/12/2008 05:00,[ 41.33340654],[ 75.29065946], [ 42.53699144]
07/12/2008 06:00,[ 42.53699144],[ 70.23219016], [ 55.89589887]
07/12/2008 07:00,[ 55.89589887],[ 80.61114366], [ 77.40776654]
07/12/2008 08:00,[ 77.40776654],[ 95.56264136], [ 137.90560769]
07/12/2008 09:00,[ 137.90560769],[ 136.24464125], [ 120.82753441]
07/12/2008 10:00,[ 120.82753441],[ 112.31665461], [ 130.12213032]
07/12/2008 11:00,[ 130.12213032],[ 122.74771798], [ 224.77390556]
07/12/2008 12:00,[ 224.77390556],[ 182.58498084], [ 152.72474681]
07/12/2008 13:00,[ 152.72474681],[ 132.31805337], [ 150.81759573]
07/12/2008 14:00,[ 150.81759573],[ 135.44132835], [ 115.15254309]
07/12/2008 15:00,[ 115.15254309],[ 107.96378788], [ 114.15250563]
07/12/2008 16:00,[ 114.15250563],[ 117.78280685], [ 110.81167254]
07/12/2008 17:00,[ 110.81167254],[ 116.58046761], [ 222.40656026]
07/12/2008 18:00,[ 222.40656026],[ 187.10446187], [ 263.44349551]
07/12/2008 19:00,[ 263.44349551],[ 204.62184234], [ 199.66455802]
07/12/2008 20:00,[ 199.66455802],[ 165.62233814], [ 160.4661872]
07/12/2008 21:00,[ 160.4661872],[ 133.87475282], [ 105.90883404]
07/12/2008 22:00,[ 105.90883404],[ 94.5590832], [ 104.00168296]
07/12/2008 23:00,[ 104.00168296],[ 111.29678096], [ 100.75598617]
08/12/2008 00:00,[ 100.75598617],[ 111.59597193], [ 55.3118062]
08/12/2008 01:00,[ 55.3118062],[ 62.71332038], [ 31.81535093]
08/12/2008 02:00,[ 31.81535093],[ 43.09545463], [ 29.14932187]
08/12/2008 03:00,[ 29.14932187],[ 43.83678388], [ 29.12940962]
08/12/2008 04:00,[ 29.12940962],[ 56.74595384], [ 29.96572413]
08/12/2008 05:00,[ 29.96572413],[ 62.86091847], [ 105.33137878]
08/12/2008 06:00,[ 105.33137878],[ 126.81762743], [ 183.27456361]
08/12/2008 07:00,[ 183.27456361],[ 153.18021359], [ 194.78384424]
08/12/2008 08:00,[ 194.78384424],[ 155.37024522], [ 156.85543249]
08/12/2008 09:00,[ 156.85543249],[ 130.03779686], [ 94.64071288]
08/12/2008 10:00,[ 94.64071288],[ 80.38721213], [ 90.39719111]
08/12/2008 11:00,[ 90.39719111],[ 96.19540269], [ 91.91715954]
08/12/2008 12:00,[ 91.91715954],[ 104.80417401], [ 92.32867938]
08/12/2008 13:00,[ 92.32867938],[ 104.64489271], [ 92.21141835]
08/12/2008 14:00,[ 92.21141835],[ 102.19294142], [ 93.62076317]
08/12/2008 15:00,[ 93.62076317],[ 102.04819745], [ 36.5611039]
08/12/2008 16:00,[ 36.5611039],[ 40.53702107], [ 26.60497878]
08/12/2008 17:00,[ 26.60497878],[ 36.43362531], [ 75.98072194]
08/12/2008 18:00,[ 75.98072194],[ 99.37984115], [ 105.35571598]
08/12/2008 19:00,[ 105.35571598],[ 116.03358289], [ 158.05459245]
08/12/2008 20:00,[ 158.05459245],[ 142.23496027], [ 125.92507047]
08/12/2008 21:00,[ 125.92507047],[ 112.18165728], [ 44.30918171]
08/12/2008 22:00,[ 44.30918171],[ 36.42776769], [ 22.8725381]
08/12/2008 23:00,[ 22.8725381],[ 28.48908924], [ 17.41215659]
09/12/2008 00:00,[ 17.41215659],[ 21.75188189], [ 18.4475936]
09/12/2008 01:00,[ 18.4475936],[ 35.81039175], [ 55.19012023]
09/12/2008 02:00,[ 55.19012023],[ 95.45174547], [ 33.483555]
09/12/2008 03:00,[ 33.483555],[ 61.64665949], [ 19.70649031]
09/12/2008 04:00,[ 19.70649031],[ 46.36977518], [ 42.47725469]
09/12/2008 05:00,[ 42.47725469],[ 69.49674558], [ 50.88464923]
09/12/2008 06:00,[ 50.88464923],[ 71.64225833], [ 147.63163569]
09/12/2008 07:00,[ 147.63163569],[ 145.79405211], [ 146.01653095]
09/12/2008 08:00,[ 146.01653095],[ 128.93411182], [ 129.7172479]
09/12/2008 09:00,[ 129.7172479],[ 116.00043916], [ 141.94115707]
09/12/2008 10:00,[ 141.94115707],[ 130.57852553], [ 100.22941778]
09/12/2008 11:00,[ 100.22941778],[ 93.92599905], [ 91.95919652]
09/12/2008 12:00,[ 91.95919652],[ 97.98848299], [ 91.49457734]
09/12/2008 13:00,[ 91.49457734],[ 103.25068654], [ 92.57647627]
09/12/2008 14:00,[ 92.57647627],[ 104.12265979], [ 95.44605278]
09/12/2008 15:00,[ 95.44605278],[ 104.7446443], [ 65.68608857]
09/12/2008 16:00,[ 65.68608857],[ 72.81652181], [ 76.9011104]
09/12/2008 17:00,[ 76.9011104],[ 91.19331492], [ 159.58783572]
09/12/2008 18:00,[ 159.58783572],[ 154.66599955], [ 212.62522045]
09/12/2008 19:00,[ 212.62522045],[ 171.2183523], [ 265.33515928]
09/12/2008 20:00,[ 265.33515928],[ 199.89430221], [ 104.00389543]
09/12/2008 21:00,[ 104.00389543],[ 69.86259763], [ 37.61424069]
09/12/2008 22:00,[ 37.61424069],[ 34.41635354], [ 19.58259187]
09/12/2008 23:00,[ 19.58259187],[ 27.69831546], [ 17.8900506]
10/12/2008 00:00,[ 17.8900506],[ 20.68049283], [ 20.06933576]
10/12/2008 01:00,[ 20.06933576],[ 54.78069248], [ 18.76397714]
10/12/2008 02:00,[ 18.76397714],[ 61.96305457], [ 24.4987052]
10/12/2008 03:00,[ 24.4987052],[ 63.9141109], [ 58.0862464]
10/12/2008 04:00,[ 58.0862464],[ 90.76761085], [ 17.5227802]
10/12/2008 05:00,[ 17.5227802],[ 36.3022332], [ 53.28739409]
10/12/2008 06:00,[ 53.28739409],[ 79.70463813], [ 163.33355124]
10/12/2008 07:00,[ 163.33355124],[ 152.73976969], [ 210.65612015]
10/12/2008 08:00,[ 210.65612015],[ 164.65033919], [ 180.63287174]
10/12/2008 09:00,[ 180.63287174],[ 146.61128931], [ 104.10345668]
10/12/2008 10:00,[ 104.10345668],[ 84.39330824], [ 4.5997298]
10/12/2008 11:00,[ 4.5997298],[-3.01943116], [ 114.71447359]
10/12/2008 12:00,[ 114.71447359],[ 144.68989724], [ 102.84898492]
10/12/2008 13:00,[ 102.84898492],[ 111.5939977], [ 131.29474061]
10/12/2008 14:00,[ 131.29474061],[ 129.56832622], [ 205.25547539]
10/12/2008 15:00,[ 205.25547539],[ 163.64455804], [ 117.52873829]
10/12/2008 16:00,[ 117.52873829],[ 96.1156268], [ 248.35000984]
10/12/2008 17:00,[ 248.35000984],[ 189.32828385], [ 132.30141548]
10/12/2008 18:00,[ 132.30141548],[ 111.70341698], [ 76.70420037]
10/12/2008 19:00,[ 76.70420037],[ 71.14916474], [ 113.01086995]
10/12/2008 20:00,[ 113.01086995],[ 127.24664175], [ 158.38646329]
10/12/2008 21:00,[ 158.38646329],[ 153.34815574], [ 41.80023818]
10/12/2008 22:00,[ 41.80023818],[ 32.05709056], [ 19.64675356]
10/12/2008 23:00,[ 19.64675356],[ 26.05978089], [ 18.6953905]
11/12/2008 00:00,[ 18.6953905],[ 23.37598022], [ 20.85918835]
11/12/2008 01:00,[ 20.85918835],[ 46.95908233], [ 17.40773165]
11/12/2008 02:00,[ 17.40773165],[ 58.50783579], [ 18.52503013]
11/12/2008 03:00,[ 18.52503013],[ 57.73023185], [ 18.91221278]
11/12/2008 04:00,[ 18.91221278],[ 53.38209975], [ 66.74143783]
11/12/2008 05:00,[ 66.74143783],[ 98.47302637], [ 107.64783723]
11/12/2008 06:00,[ 107.64783723],[ 117.2472218], [ 192.93421744]
11/12/2008 07:00,[ 192.93421744],[ 158.63960941], [ 105.63227501]
11/12/2008 08:00,[ 105.63227501],[ 87.21129035], [ 130.27700338]
11/12/2008 09:00,[ 130.27700338],[ 125.43191808], [ 92.02999563]
11/12/2008 10:00,[ 92.02999563],[ 89.01698462], [ 90.67817508]
11/12/2008 11:00,[ 90.67817508],[ 99.00663253], [ 29.29755751]
11/12/2008 12:00,[ 29.29755751],[ 33.78176782], [ 19.17107203]
11/12/2008 13:00,[ 19.17107203],[ 25.45027765], [ 18.51839272]
11/12/2008 14:00,[ 18.51839272],[ 30.50721066], [ 20.75741463]
11/12/2008 15:00,[ 20.75741463],[ 58.24165943], [ 18.48520563]
11/12/2008 16:00,[ 18.48520563],[ 54.5804489], [ 78.1998316]
11/12/2008 17:00,[ 78.1998316],[ 108.06621808], [ 91.89060988]
11/12/2008 18:00,[ 91.89060988],[ 102.35100713], [ 141.17785414]
11/12/2008 19:00,[ 141.17785414],[ 133.5577602], [ 152.80660828]
11/12/2008 20:00,[ 152.80660828],[ 134.6111986], [ 67.18835723]
11/12/2008 21:00,[ 67.18835723],[ 54.69470242], [ 38.51029195]
11/12/2008 22:00,[ 38.51029195],[ 43.21461956], [ 28.36389422]
11/12/2008 23:00,[ 28.36389422],[ 37.86651704], [ 27.56961668]
12/12/2008 00:00,[ 27.56961668],[ 39.37630091], [ 20.24412107]
12/12/2008 01:00,[ 20.24412107],[ 50.45563578], [ 18.95424975]
12/12/2008 02:00,[ 18.95424975],[ 53.41976539], [ 36.0345355]
12/12/2008 03:00,[ 36.0345355],[ 67.42618795], [ 53.76750057]
12/12/2008 04:00,[ 53.76750057],[ 77.22879053], [ 18.48078069]
12/12/2008 05:00,[ 18.48078069],[ 30.76002513], [ 85.33726708]
12/12/2008 06:00,[ 85.33726708],[ 106.9289621], [ 145.68244764]
12/12/2008 07:00,[ 145.68244764],[ 137.45191835], [ 115.38042773]
12/12/2008 08:00,[ 115.38042773],[ 105.31716186], [ 92.93489678]
12/12/2008 09:00,[ 92.93489678],[ 90.4728967], [ 87.99444625]
12/12/2008 10:00,[ 87.99444625],[ 92.72062235], [ 87.96347164]
12/12/2008 11:00,[ 87.96347164],[ 97.05484133], [ 89.57193896]
12/12/2008 12:00,[ 89.57193896],[ 100.08695943], [ 91.47466509]
12/12/2008 13:00,[ 91.47466509],[ 101.15786228], [ 57.04417197]
12/12/2008 14:00,[ 57.04417197],[ 64.09929657], [ 44.66317727]
12/12/2008 15:00,[ 44.66317727],[ 56.61563421], [ 47.19424552]
12/12/2008 16:00,[ 47.19424552],[ 63.17100336], [ 164.96635575]
12/12/2008 17:00,[ 164.96635575],[ 158.68751493], [ 149.93703177]
12/12/2008 18:00,[ 149.93703177],[ 131.19714982], [ 109.51737628]
12/12/2008 19:00,[ 109.51737628],[ 98.12889819], [ 198.90789251]
12/12/2008 20:00,[ 198.90789251],[ 169.77119691], [ 144.62267343]
12/12/2008 21:00,[ 144.62267343],[ 128.19322021], [ 99.86214738]
12/12/2008 22:00,[ 99.86214738],[ 91.95176095], [ 20.30385782]
12/12/2008 23:00,[ 20.30385782],[ 18.98270562], [ 17.84358868]
13/12/2008 00:00,[ 17.84358868],[ 22.00604004], [ 19.52506759]
13/12/2008 01:00,[ 19.52506759],[ 22.84232122], [ 17.68871562]
13/12/2008 02:00,[ 17.68871562],[ 61.31557633], [ 55.35605564]
13/12/2008 03:00,[ 55.35605564],[ 94.93498357], [ 20.04499857]
13/12/2008 04:00,[ 20.04499857],[ 47.22540741], [ 17.41215659]
13/12/2008 05:00,[ 17.41215659],[ 45.39229699], [ 26.64922823]
13/12/2008 06:00,[ 26.64922823],[ 50.82300996], [ 141.48538779]
13/12/2008 07:00,[ 141.48538779],[ 146.11367272], [ 141.89469515]
13/12/2008 08:00,[ 141.89469515],[ 126.32716991], [ 95.60756325]
13/12/2008 09:00,[ 95.60756325],[ 86.96184517], [ 115.66804912]
13/12/2008 10:00,[ 115.66804912],[ 116.34958368], [ 70.43184154]
13/12/2008 11:00,[ 70.43184154],[ 69.81837849], [ 57.63047712]
13/12/2008 12:00,[ 57.63047712],[ 68.00548131], [ 88.37499147]
13/12/2008 13:00,[ 88.37499147],[ 108.50125033], [ 91.89945976]
13/12/2008 14:00,[ 91.89945976],[ 102.83807024], [ 167.91558126]
13/12/2008 15:00,[ 167.91558126],[ 152.92688488], [ 266.2267856]
13/12/2008 16:00,[ 266.2267856],[ 194.22532493], [ 182.87853107]
13/12/2008 17:00,[ 182.87853107],[ 147.57197627], [ 88.21126853]
13/12/2008 18:00,[ 88.21126853],[ 68.61725236], [ 149.90163222]
13/12/2008 19:00,[ 149.90163222],[ 150.99835434], [ 97.74923639]
13/12/2008 20:00,[ 97.74923639],[ 96.59668191], [ 25.57175424]
13/12/2008 21:00,[ 25.57175424],[ 27.20039275], [ 30.40379363]
13/12/2008 22:00,[ 30.40379363],[ 39.6305563], [ 33.14504675]
13/12/2008 23:00,[ 33.14504675],[ 50.76425124], [ 23.8770005]
14/12/2008 00:00,[ 23.8770005],[ 60.15285784], [ 24.3394072]
14/12/2008 01:00,[ 24.3394072],[ 62.85559974], [ 32.4392681]
14/12/2008 02:00,[ 32.4392681],[ 67.07518033], [ 43.15205872]
14/12/2008 03:00,[ 43.15205872],[ 72.06838748], [ 23.67124058]
14/12/2008 04:00,[ 23.67124058],[ 44.23793079], [ 22.31720757]
14/12/2008 05:00,[ 22.31720757],[ 41.46517435], [ 21.77957681]
14/12/2008 06:00,[ 21.77957681],[ 38.89944149], [ 67.56447751]
14/12/2008 07:00,[ 67.56447751],[ 91.5227307], [ 190.59120933]
14/12/2008 08:00,[ 190.59120933],[ 158.94941834], [ 163.77604568]
14/12/2008 09:00,[ 163.77604568],[ 134.79276378], [ 64.96261015]
14/12/2008 10:00,[ 64.96261015],[ 48.89376101], [ 155.96823112]
14/12/2008 11:00,[ 155.96823112],[ 156.44520408], [ 226.22086241]
14/12/2008 12:00,[ 226.22086241],[ 185.64392454], [ 108.17883057]
14/12/2008 13:00,[ 108.17883057],[ 87.31922217], [ 119.7279357]
14/12/2008 14:00,[ 119.7279357],[ 120.16968449], [ 179.93815546]
14/12/2008 15:00,[ 179.93815546],[ 166.70692572], [ 54.25424447]
14/12/2008 16:00,[ 54.25424447],[ 41.10064316], [ 91.27996754]
14/12/2008 17:00,[ 91.27996754],[ 111.32945659], [ 95.41729064]
14/12/2008 18:00,[ 95.41729064],[ 108.55037641], [ 159.80244553]
14/12/2008 19:00,[ 159.80244553],[ 150.89937953], [ 155.23147786]
14/12/2008 20:00,[ 155.23147786],[ 136.83855967], [ 93.52783934]
14/12/2008 21:00,[ 93.52783934],[ 82.70557237], [ 56.39370513]
14/12/2008 22:00,[ 56.39370513],[ 58.51011507], [ 40.40638066]
14/12/2008 23:00,[ 40.40638066],[ 51.99336805], [ 21.57381689]
15/12/2008 00:00,[ 21.57381689],[ 32.02667924], [ 23.03626105]
15/12/2008 01:00,[ 23.03626105],[ 43.65816778], [ 22.17782181]
15/12/2008 02:00,[ 22.17782181],[ 59.68357215], [ 46.01942276]
15/12/2008 03:00,[ 46.01942276],[ 82.89696299], [ 35.67832747]
15/12/2008 04:00,[ 35.67832747],[ 62.59233875], [ 21.18884672]
15/12/2008 05:00,[ 21.18884672],[ 44.04309256], [ 54.570628]
15/12/2008 06:00,[ 54.570628],[ 80.71848279], [ 133.7350975]
15/12/2008 07:00,[ 133.7350975],[ 137.29849255], [ 161.37772577]
15/12/2008 08:00,[ 161.37772577],[ 140.25127203], [ 96.34210404]
15/12/2008 09:00,[ 96.34210404],[ 83.70407475], [ 94.8221356]
15/12/2008 10:00,[ 94.8221356],[ 97.20327664], [ 92.67603752]
15/12/2008 11:00,[ 92.67603752],[ 99.36865238], [ 92.79108608]
15/12/2008 12:00,[ 92.79108608],[ 102.15884016], [ 95.26241758]
15/12/2008 13:00,[ 95.26241758],[ 104.7148962], [ 90.12726949]
15/12/2008 14:00,[ 90.12726949],[ 98.26508617], [ 21.89905031]
